=== RESUMO ESTATÍSTICO ===

TAREFA A - LAÇO IRREGULAR
----------------------------------------------------------------------------------------------------
          tarefa       n    k  threads      mean      std  chunk
tarefa_a_dynamic  500000 20.0        4  0.116083 0.007221    1.0
tarefa_a_dynamic  500000 20.0        4  0.105620 0.005909    4.0
tarefa_a_dynamic  500000 20.0        4  0.112225 0.009048   16.0
tarefa_a_dynamic  500000 20.0        4  0.111491 0.007253   64.0
tarefa_a_dynamic  500000 20.0        8  0.076894 0.002441    1.0
tarefa_a_dynamic  500000 20.0        8  0.079025 0.002718    4.0
tarefa_a_dynamic  500000 20.0        8  0.078938 0.005927   16.0
tarefa_a_dynamic  500000 20.0        8  0.074485 0.001809   64.0
tarefa_a_dynamic  500000 20.0       16  0.070500 0.002672    1.0
tarefa_a_dynamic  500000 20.0       16  0.069158 0.001083    4.0
tarefa_a_dynamic  500000 20.0       16  0.068156 0.000523   16.0
tarefa_a_dynamic  500000 20.0       16  0.068778 0.001454   64.0
tarefa_a_dynamic  500000 24.0        1  2.313620 0.011330    1.0
tarefa_a_dynamic  500000 24.0        1  2.301017 0.003437    4.0
tarefa_a_dynamic  500000 24.0        1  2.297857 0.010268   16.0
tarefa_a_dynamic  500000 24.0        1  2.313020 0.010383   64.0
tarefa_a_dynamic  500000 24.0        2  1.285829 0.052882    1.0
tarefa_a_dynamic  500000 24.0        2  1.228983 0.024207    4.0
tarefa_a_dynamic  500000 24.0        2  1.268323 0.049069   16.0
tarefa_a_dynamic  500000 24.0        2  1.239943 0.053003   64.0
tarefa_a_dynamic  500000 24.0        4  0.698704 0.020124    1.0
tarefa_a_dynamic  500000 24.0        4  0.703639 0.009057    4.0
tarefa_a_dynamic  500000 24.0        4  0.715805 0.024471   16.0
tarefa_a_dynamic  500000 24.0        4  0.730814 0.023506   64.0
tarefa_a_dynamic  500000 24.0        8  0.472632 0.010425    1.0
tarefa_a_dynamic  500000 24.0        8  0.469758 0.002673    4.0
tarefa_a_dynamic  500000 24.0        8  0.472817 0.005575   16.0
tarefa_a_dynamic  500000 24.0        8  0.469892 0.003050   64.0
tarefa_a_dynamic  500000 24.0       16  0.431336 0.009292    1.0
tarefa_a_dynamic  500000 24.0       16  0.429274 0.007669    4.0
tarefa_a_dynamic  500000 24.0       16  0.429597 0.006203   16.0
tarefa_a_dynamic  500000 24.0       16  0.433179 0.009966   64.0
tarefa_a_dynamic  500000 28.0        1 13.503624 0.066583    1.0
tarefa_a_dynamic  500000 28.0        1 13.437664 0.025720    4.0
tarefa_a_dynamic  500000 28.0        1 13.477932 0.034793   16.0
tarefa_a_dynamic  500000 28.0        1 13.449076 0.018362   64.0
tarefa_a_dynamic  500000 28.0        2  7.388000 0.118065    1.0
tarefa_a_dynamic  500000 28.0        2  7.301055 0.121907    4.0
tarefa_a_dynamic  500000 28.0        2  7.500903 0.085578   16.0
